id,oportunidad_id,nota,origen
1,9,MENSAJE 21 DE JULIO,venta_cerrada
2,16,MENSAJE 21 DE JULIO,venta_cerrada
3,19,MENSAJE 21 DE JULIO || no respode lamadas,venta_cerrada
4,20,Bowls fusion street food saludable internacional Mixologia Barismo y extracción de café Seguimiento Intagram,comentario
5,62,Seguimiento por Instagram,comentario
6,82,PASTELERÍA SALUDABLE,comentario
7,86,NÚMERO EQUIVOCADO || SEGUIMIENTO EN FACEBOOK,comentario
8,92,Seguimiento por Instagram,comentario
9,99,Seguimiento por Intagram,comentario
10,102,NO TIENE WHATSAPP,comentario
11,103,Seguimiento por Intagram,comentario
12,109,Horario sabado por la tarde,comentario
13,110,Cursos cortos,comentario
14,111,SIN RESPUESTA,valor_oportunidad
15,115,NO TIENE WHATSAPP 78506128,comentario
16,116,NO TIENE WHATSAPP,comentario
17,122,NO TIENE WHATSAPP,comentario
18,123,Enviar Ubicacion,comentario
19,123,SIN RESPUESTA,valor_oportunidad
20,125,Enviarle Cursos cortos,comentario
21,127,SIN RESPUESTA,valor_oportunidad
22,139,5 pm llamar,valor_oportunidad
23,141,Se ha solicitado contacto,comentario
24,144,Se envio informacion y indica que busca horario de sabado,comentario
25,151,Bolleria Francesa /,comentario
26,152,Tartas Modernas,comentario
27,153,Seguimiento Instagram,comentario
28,154,Seguimiento Instagram,comentario
29,157,Seguimiento Facebook,comentario
30,172,NO TIENE WHATSAPP,comentario
31,178,SIN RESPUESTA,valor_oportunidad
32,190,ESTARÁ DE VIAJE DEL 14 AL 19 DE AGOSTO,comentario
33,197,Seguimiento Instagram,comentario
34,202,SEMANA 5 Y 6 LES PETITS CHEF,comentario
35,222,DIPLOMADO EN BARISMO,comentario
36,222,mensaje 22/07,venta_cerrada
37,249,Seguimiento Instagram y whatsapp,comentario
38,250,Seguimiento Instagram,comentario
39,251,SIN RESPUESTA,venta_cerrada
40,254,Seguimiento Instagram / sin whatsapp,comentario
41,255,PROMOCIÓN,venta_cerrada
42,258,Seguimiento Instagram,comentario
43,259,Seguimiento Facebook,comentario
44,259,SIN RESPUESTA,venta_cerrada
45,270,Seguimiento Instagram,comentario
46,271,22/7/2026,venta_cerrada
47,273,SIN RESPUESTA,venta_cerrada
48,274,17 DE JULIO,venta_cerrada
49,279,BOLLERIA INTERNACIONAL,comentario
50,280,NÚMERO EQUIVOCADO,venta_cerrada
51,281,SIN RESPUESTA,valor_oportunidad
52,283,22/7/2026,venta_cerrada
53,289,SIN RESPUESTA,venta_cerrada
54,296,SIN RESPUESTA,venta_cerrada
55,300,Seguimiento Facebook,comentario
56,304,No tiene whatsapp//seguimiento Facebook,comentario
57,307,Seguimiento Facebook,comentario
58,324,SIN RESPUESTA,venta_cerrada
59,325,SIN RESPUESTA,valor_oportunidad
60,330,SIN RESPUESTA,valor_oportunidad
61,332,4:30 pm,valor_oportunidad
62,333,Seguimiento Instagram,comentario
63,334,NO INTERESADA EN INSCRIBIR,venta_cerrada
64,337,Seguimiento Instagram,comentario
65,347,ESPERANDO RESPUESTA,venta_cerrada
66,355,NO RESPONDE LLAMADAS NI MENSAJES,venta_cerrada
67,356,NO RESPONDE LLAMADAS NI MENSAJES,venta_cerrada
68,357,NO RESPONDE LLAMADAS NI MENSAJES,venta_cerrada
69,358,"NO RESPONDE MENSAJES || LLAMADA RESPONDIDA SOLO ESTABA SONDEANDO PRECIOS, SE LE BRINDA INFORMACIÓN DE BRIGADAS Y EVALUACIONES FINALES.",venta_cerrada
70,359,"NO RESPONDE MENSAJES || LLAMADA REALIZA CONSULTAS DE PRECIOS Y TEMAS A VER DENTRO DEL CURSO, SE DEJA MENSAJE DE SEGUIMIENTO, AUN NO SE INSCRIBIRÁ",venta_cerrada
71,360,NO RESPONDE LLAMADAS NI MENSAJES,venta_cerrada
72,361,NO RESPONDE LLAMADAS NI MENSAJES,venta_cerrada
73,362,NO RESPONDE LLAMADAS NI MENSAJES,venta_cerrada
74,369,NO RESPONDE MENSAJES || EL CURSO ES PARA SU HIJA DE 9 AÑOS Y YA LE HABIAN INDICADO QUE LA EDAD MINIMA DE INSCRIPCIÓN PARA ESTE CUrSO ES 15 AÑOS.,venta_cerrada
75,372,NO RESPONDE MENSAJES || LLAMADA: BUSCA CURSOS SABADOS HASTA LAS 2:00 PM LO MAS TARDE,venta_cerrada
76,516,NO RESPONDE LLAMADAS NI MENSAJES,comentario
77,517,NO RESPONDE LLAMADAS NI MENSAJES,comentario
78,518,NO RESPONDE MENSAJES NI LLAMADAS,comentario
79,519,NO RESPONDE LLAMADAS NI MENSAJES,comentario
80,520,NO RESPONDE MENSAJES || LLAMADA MENCIONA QUE NO HA REVISADO QUE ELLA ESCRIBIRÁ DESPUES SE ENCUENTRA TRABAJANDO AL MOMENTO,comentario
81,521,NO RESPONDE LLAMADAS NI MENSAJES,comentario
82,523,NO RESPONDE LLAMADAS NI MENSAJES AUTOMÁTICOS,comentario
83,523,No esta interesado,valor_oportunidad
84,524,NO RESPONDE LLAMADAS || NO TIENE WHATSAPP,comentario
85,525,NO RESPONDEN LLAMADAS NI WHASTAPP,comentario
86,544,Seguimiento por Whatsapp,comentario
87,551,Seguimiento Instagram,comentario
88,563,No esta interesado,valor_oportunidad
89,564,Sin respuesta,valor_oportunidad
90,567,No tiene whastapp,comentario
91,573,No tiene whastapp,comentario
